County,Case Count,Death Count,Hospitalized Count,fips
Adams,3,0,0,39001
Allen,46,4,27,39003
Ashland,5,0,1,39005
Ashtabula,32,2,9,39007
Athens,3,1,1,39009
Auglaize,15,1,6,39011
Belmont,57,3,13,39013
Brown,5,1,2,39015
Butler,127,2,43,39017
Carroll,14,0,5,39019
Champaign,6,1,2,39021
Clark,20,0,5,39023
Clermont,44,1,10,39025
Clinton,18,0,4,39027
Columbiana,115,8,74,39029
Coshocton,16,0,3,39031
Crawford,19,0,1,39033
Cuyahoga,1239,33,349,39035
Darke,50,10,7,39037
Defiance,12,0,5,39039
Delaware,99,2,15,39041
Erie,14,1,8,39043
Fairfield,90,1,21,39045
Fayette,12,0,0,39047
Franklin,1053,18,210,39049
Fulton,7,0,3,39051
Gallia,6,1,3,39053
Geauga,69,3,16,39055
Greene,31,2,9,39057
Guernsey,7,0,1,39059
Hamilton,576,24,134,39061
Hancock,20,1,7,39063
Hardin,11,0,1,39065
Henry,1,0,1,39069
Highland,7,0,2,39071
Hocking,4,0,1,39073
Holmes,3,0,1,39075
Huron,14,1,5,39077
Jackson,3,0,1,39079
Jefferson,24,0,7,39081
Knox,10,1,4,39083
Lake,121,6,43,39085
Lawrence,17,0,3,39087
Licking,86,3,18,39089
Logan,8,0,2,39091
Lorain,191,7,54,39093
Lucas,540,25,232,39095
Madison,24,3,8,39097
Mahoning,469,35,184,39099
Marion,110,0,10,39101
Medina,116,9,37,39103
Meigs,1,0,0,39105
Mercer,13,1,3,39107
Miami,122,19,46,39109
Monroe,2,0,2,39111
Montgomery,205,8,70,39113
Morgan,2,0,0,39115
Morrow,10,0,4,39117
Muskingum,8,0,2,39119
Noble,2,0,1,39121
Ottawa,11,0,5,39123
Paulding,5,0,2,39125
Perry,8,0,3,39127
Pickaway,97,0,7,39129
Pike,1,0,0,39131
Portage,146,20,42,39133
Preble,17,1,5,39135
Putnam,2,0,1,39137
Richland,43,1,17,39139
Ross,20,0,6,39141
Sandusky,13,2,6,39143
Scioto,4,0,0,39145
Seneca,10,1,5,39147
Shelby,27,0,9,39149
Stark,171,17,44,39151
Summit,273,15,111,39153
Trumbull,187,13,87,39155
Tuscarawas,28,0,7,39157
Union,11,0,1,39159
Van Wert,2,0,1,39161
Warren,78,3,14,39165
Washington,44,2,4,39167
Wayne,51,5,14,39169
Williams,3,0,2,39171
Wood,61,4,25,39173
Wyandot,13,2,2,39175
