County,Case Count,Death Count,Hospitalized Count,fips
Adams,10,1,1,39001
Allen,212,33,56,39003
Ashland,20,0,5,39005
Ashtabula,340,35,56,39007
Athens,18,1,1,39009
Auglaize,72,3,11,39011
Belmont,435,13,34,39013
Brown,29,1,4,39015
Butler,909,31,162,39017
Carroll,31,3,7,39019
Champaign,28,1,4,39021
Clark,295,6,36,39023
Clermont,213,5,41,39025
Clinton,43,0,12,39027
Columbiana,875,52,133,39029
Coshocton,40,0,4,39031
Crawford,115,4,19,39033
Cuyahoga,4508,241,1125,39035
Darke,174,22,20,39037
Defiance,34,2,11,39039
Delaware,337,13,37,39041
Erie,175,14,37,39043
Fairfield,280,6,41,39045
Fayette,40,0,6,39047
Franklin,5933,271,758,39049
Fulton,44,0,7,39051
Gallia,8,1,3,39053
Geauga,286,32,69,39055
Greene,103,5,15,39057
Guernsey,36,1,5,39059
Hamilton,2698,151,540,39061
Hancock,50,1,9,39063
Hardin,61,0,4,39065
Harrison,10,0,2,39067
Henry,16,0,2,39069
Highland,25,1,7,39071
Hocking,69,5,14,39073
Holmes,43,1,2,39075
Huron,60,1,11,39077
Jackson,14,0,1,39079
Jefferson,67,2,16,39081
Knox,25,1,6,39083
Lake,309,13,70,39085
Lawrence,30,0,4,39087
Licking,249,10,38,39089
Logan,39,0,5,39091
Lorain,692,59,120,39093
Lucas,2277,248,562,39095
Madison,155,7,20,39097
Mahoning,1438,178,311,39099
Marion,2668,28,80,39101
Medina,346,24,68,39103
Meigs,6,0,0,39105
Mercer,216,7,35,39107
Miami,358,30,51,39109
Monroe,79,14,15,39111
Montgomery,684,16,173,39113
Morgan,5,0,0,39115
Morrow,107,1,8,39117
Muskingum,52,0,9,39119
Noble,6,0,2,39121
Ottawa,103,16,26,39123
Paulding,14,0,5,39125
Perry,18,1,6,39127
Pickaway,2086,37,56,39129
Pike,8,0,0,39131
Portage,327,57,76,39133
Preble,39,1,6,39135
Putnam,93,14,15,39137
Richland,201,3,33,39139
Ross,72,2,21,39141
Sandusky,81,11,26,39143
Scioto,18,0,2,39145
Seneca,20,2,5,39147
Shelby,43,3,16,39149
Stark,736,92,159,39151
Summit,1453,176,362,39153
Trumbull,582,50,159,39155
Tuscarawas,349,3,45,39157
Union,52,1,5,39159
Van Wert,6,0,1,39161
Vinton,21,2,5,39163
Warren,378,21,51,39165
Washington,118,19,15,39167
Wayne,277,50,38,39169
Williams,55,1,5,39171
Wood,295,47,66,39173
Wyandot,42,2,3,39175
