County,Case Count,Death Count,Hospitalized Count,fips
Adams,5,0,0,39001
Allen,123,23,45,39003
Ashland,8,0,1,39005
Ashtabula,142,15,20,39007
Athens,4,1,1,39009
Auglaize,34,3,8,39011
Belmont,156,7,17,39013
Brown,11,1,2,39015
Butler,318,7,87,39017
Carroll,21,1,6,39019
Champaign,14,1,2,39021
Clark,63,2,11,39023
Clermont,99,3,23,39025
Clinton,31,0,7,39027
Columbiana,274,24,104,39029
Coshocton,17,0,4,39031
Crawford,50,0,7,39033
Cuyahoga,2305,115,598,39035
Darke,76,14,14,39037
Defiance,20,1,9,39039
Delaware,168,4,21,39041
Erie,58,3,15,39043
Fairfield,140,2,27,39045
Fayette,17,0,2,39047
Franklin,2698,78,396,39049
Fulton,24,0,6,39051
Gallia,6,1,3,39053
Geauga,159,13,30,39055
Greene,48,4,9,39057
Guernsey,16,0,1,39059
Hamilton,1353,78,280,39061
Hancock,38,1,7,39063
Hardin,26,0,2,39065
Harrison,5,0,2,39067
Henry,5,0,1,39069
Highland,10,0,2,39071
Hocking,19,1,7,39073
Holmes,6,1,2,39075
Huron,31,1,7,39077
Jackson,4,0,1,39079
Jefferson,43,1,12,39081
Knox,18,1,5,39083
Lake,170,8,52,39085
Lawrence,25,0,4,39087
Licking,122,5,26,39089
Logan,19,0,3,39091
Lorain,480,33,88,39093
Lucas,1331,119,424,39095
Madison,64,3,12,39097
Mahoning,883,82,245,39099
Marion,2294,4,29,39101
Medina,172,15,45,39103
Meigs,2,0,0,39105
Mercer,28,1,6,39107
Miami,143,27,49,39109
Monroe,4,0,2,39111
Montgomery,311,10,100,39113
Morgan,4,0,0,39115
Morrow,75,1,4,39117
Muskingum,17,0,4,39119
Noble,5,0,2,39121
Ottawa,40,1,15,39123
Paulding,8,0,3,39125
Perry,13,0,6,39127
Pickaway,1724,22,49,39129
Pike,3,0,0,39131
Portage,243,41,65,39133
Preble,27,1,6,39135
Putnam,69,9,12,39137
Richland,89,2,22,39139
Ross,40,1,9,39141
Sandusky,32,6,12,39143
Scioto,11,0,1,39145
Seneca,14,1,5,39147
Shelby,30,1,12,39149
Stark,379,52,95,39151
Summit,679,57,240,39153
Trumbull,324,31,119,39155
Tuscarawas,109,0,13,39157
Union,22,0,2,39159
Van Wert,3,0,1,39161
Vinton,6,0,0,39163
Warren,166,11,30,39165
Washington,100,12,11,39167
Wayne,149,32,23,39169
Williams,36,1,4,39171
Wood,183,23,55,39173
Wyandot,24,2,3,39175
