County,Case Count,Death Count,Hospitalized Count,fips
Adams,3,0,0,39001
Allen,23,1,17,39003
Ashland,4,0,1,39005
Ashtabula,19,0,6,39007
Athens,3,1,1,39009
Auglaize,8,1,3,39011
Belmont,36,1,6,39013
Brown,4,1,1,39015
Butler,108,2,41,39017
Carroll,9,0,5,39019
Champaign,5,0,2,39021
Clark,14,0,4,39023
Clermont,33,1,5,39025
Clinton,12,0,3,39027
Columbiana,81,6,52,39029
Coshocton,12,0,2,39031
Crawford,12,0,0,39033
Cuyahoga,1014,23,283,39035
Darke,40,7,3,39037
Defiance,10,0,5,39039
Delaware,84,2,14,39041
Erie,10,1,8,39043
Fairfield,68,0,15,39045
Fayette,5,0,0,39047
Franklin,802,14,152,39049
Fulton,5,0,2,39051
Gallia,4,1,3,39053
Geauga,47,1,13,39055
Greene,21,1,7,39057
Guernsey,4,0,0,39059
Hamilton,473,14,89,39061
Hancock,16,0,5,39063
Hardin,3,0,1,39065
Henry,1,0,1,39069
Highland,6,0,2,39071
Holmes,3,0,1,39075
Huron,10,1,4,39077
Jackson,2,0,1,39079
Jefferson,19,0,7,39081
Knox,8,1,3,39083
Lake,106,5,32,39085
Lawrence,15,0,2,39087
Licking,78,3,16,39089
Logan,5,0,1,39091
Lorain,140,5,43,39093
Lucas,403,16,144,39095
Madison,21,2,7,39097
Mahoning,334,28,149,39099
Marion,40,0,7,39101
Medina,98,5,31,39103
Meigs,1,0,0,39105
Mercer,12,1,3,39107
Miami,110,14,42,39109
Monroe,2,0,2,39111
Montgomery,156,4,50,39113
Morgan,2,0,0,39115
Morrow,6,0,2,39117
Muskingum,8,0,2,39119
Noble,1,0,0,39121
Ottawa,8,0,4,39123
Paulding,2,0,1,39125
Perry,6,0,2,39127
Pickaway,39,0,0,39129
Pike,1,0,0,39131
Portage,116,14,32,39133
Preble,9,1,4,39135
Richland,27,1,14,39139
Ross,10,0,5,39141
Sandusky,7,1,5,39143
Scioto,2,0,0,39145
Seneca,7,1,2,39147
Shelby,21,0,8,39149
Stark,120,8,28,39151
Summit,221,12,85,39153
Trumbull,132,8,65,39155
Tuscarawas,26,0,6,39157
Union,9,0,0,39159
Van Wert,2,0,1,39161
Warren,53,0,9,39165
Washington,34,0,3,39167
Wayne,30,1,12,39169
Williams,1,0,1,39171
Wood,42,2,22,39173
Wyandot,8,1,2,39175
