County,Case Count,Death Count,Hospitalized Count,fips
Adams,8,1,1,39001
Allen,178,31,52,39003
Ashland,17,0,3,39005
Ashtabula,272,30,49,39007
Athens,13,1,1,39009
Auglaize,56,3,11,39011
Belmont,374,11,29,39013
Brown,24,1,3,39015
Butler,734,23,137,39017
Carroll,28,2,6,39019
Champaign,26,1,4,39021
Clark,184,5,27,39023
Clermont,170,5,34,39025
Clinton,43,0,12,39027
Columbiana,476,49,129,39029
Coshocton,23,0,4,39031
Crawford,104,3,18,39033
Cuyahoga,3762,204,954,39035
Darke,146,16,17,39037
Defiance,32,2,11,39039
Delaware,282,11,31,39041
Erie,133,4,24,39043
Fairfield,229,3,32,39045
Fayette,34,0,4,39047
Franklin,4996,215,631,39049
Fulton,35,0,6,39051
Gallia,7,1,3,39053
Geauga,248,27,57,39055
Greene,86,5,13,39057
Guernsey,29,0,2,39059
Hamilton,2279,124,434,39061
Hancock,47,1,7,39063
Hardin,37,0,3,39065
Harrison,10,0,2,39067
Henry,13,0,2,39069
Highland,16,1,5,39071
Hocking,64,2,12,39073
Holmes,20,1,2,39075
Huron,48,1,9,39077
Jackson,11,0,1,39079
Jefferson,62,2,16,39081
Knox,23,1,6,39083
Lake,252,11,64,39085
Lawrence,28,0,4,39087
Licking,200,10,38,39089
Logan,33,0,4,39091
Lorain,626,58,113,39093
Lucas,2071,218,548,39095
Madison,128,7,17,39097
Mahoning,1295,163,287,39099
Marion,2581,18,76,39101
Medina,258,18,64,39103
Meigs,5,0,0,39105
Mercer,170,3,27,39107
Miami,337,30,49,39109
Monroe,71,7,11,39111
Montgomery,561,14,157,39113
Morgan,5,0,0,39115
Morrow,103,1,8,39117
Muskingum,43,0,7,39119
Noble,5,0,2,39121
Ottawa,66,7,23,39123
Paulding,12,0,5,39125
Perry,17,1,6,39127
Pickaway,2033,32,56,39129
Pike,6,0,0,39131
Portage,308,55,75,39133
Preble,30,1,6,39135
Putnam,84,13,15,39137
Richland,178,3,30,39139
Ross,61,1,15,39141
Sandusky,63,9,22,39143
Scioto,14,0,1,39145
Seneca,16,2,5,39147
Shelby,36,2,15,39149
Stark,655,80,139,39151
Summit,1183,148,336,39153
Trumbull,507,40,144,39155
Tuscarawas,301,2,32,39157
Union,40,0,3,39159
Van Wert,5,0,1,39161
Vinton,18,0,5,39163
Warren,310,18,46,39165
Washington,116,17,15,39167
Wayne,242,50,33,39169
Williams,48,1,4,39171
Wood,261,43,64,39173
Wyandot,33,2,3,39175
