County,Case Count,Death Count,Hospitalized Count,fips
Allen,13,0,10,39003
Ashland,3,0,1,39005
Ashtabula,9,0,1,39007
Athens,3,1,1,39009
Auglaize,5,0,2,39011
Belmont,13,0,4,39013
Brown,2,1,1,39015
Butler,49,1,19,39017
Carroll,5,0,4,39019
Champaign,4,0,2,39021
Clark,7,0,4,39023
Clermont,16,1,5,39025
Clinton,7,0,2,39027
Columbiana,28,3,18,39029
Coshocton,8,0,1,39031
Crawford,7,0,0,39033
Cuyahoga,780,13,185,39035
Darke,26,1,0,39037
Defiance,6,0,2,39039
Delaware,61,1,9,39041
Erie,6,1,6,39043
Fairfield,32,0,6,39045
Fayette,1,0,0,39047
Franklin,503,5,80,39049
Fulton,3,0,1,39051
Gallia,4,1,3,39053
Geauga,35,0,10,39055
Greene,9,1,2,39057
Guernsey,1,0,0,39059
Hamilton,220,2,50,39061
Hancock,9,0,4,39063
Hardin,1,0,1,39065
Highland,4,0,1,39071
Holmes,1,0,0,39075
Huron,5,1,3,39077
Jefferson,14,0,6,39081
Knox,6,1,3,39083
Lake,66,3,19,39085
Lawrence,4,0,1,39087
Licking,41,1,4,39089
Logan,3,0,1,39091
Lorain,95,2,26,39093
Lucas,233,4,38,39095
Madison,12,2,3,39097
Mahoning,203,12,97,39099
Marion,11,0,3,39101
Medina,72,1,19,39103
Mercer,6,0,1,39107
Miami,64,8,24,39109
Montgomery,57,2,14,39113
Morrow,1,0,0,39117
Muskingum,3,0,2,39119
Ottawa,5,0,3,39123
Perry,2,0,0,39127
Pickaway,13,0,0,39129
Pike,1,0,0,39131
Portage,65,3,21,39133
Preble,3,0,2,39135
Richland,10,0,8,39139
Ross,4,0,3,39141
Sandusky,5,0,5,39143
Seneca,4,1,2,39147
Shelby,7,0,3,39149
Stark,79,4,14,39151
Summit,165,7,66,39153
Trumbull,72,7,34,39155
Tuscarawas,17,0,3,39157
Union,5,0,0,39159
Van Wert,2,0,1,39161
Warren,31,0,5,39165
Washington,4,0,2,39167
Wayne,18,0,8,39169
Williams,1,0,1,39171
Wood,20,0,13,39173
Wyandot,2,0,2,39175
