County,Case Count,Death Count,Hospitalized Count,fips
Adams,11,1,2,39001
Allen,227,34,61,39003
Ashland,25,0,5,39005
Ashtabula,375,38,65,39007
Athens,18,1,1,39009
Auglaize,80,3,11,39011
Belmont,455,15,37,39013
Brown,32,1,6,39015
Butler,1034,32,180,39017
Carroll,36,3,9,39019
Champaign,35,1,4,39021
Clark,377,8,44,39023
Clermont,234,6,41,39025
Clinton,48,0,13,39027
Columbiana,901,55,135,39029
Coshocton,48,0,4,39031
Crawford,121,4,21,39033
Cuyahoga,4939,287,1232,39035
Darke,194,25,23,39037
Defiance,38,2,13,39039
Delaware,378,14,47,39041
Erie,191,16,37,39043
Fairfield,336,9,46,39045
Fayette,43,0,6,39047
Franklin,6667,303,849,39049
Fulton,51,0,7,39051
Gallia,9,1,3,39053
Geauga,317,34,74,39055
Greene,120,6,19,39057
Guernsey,44,2,6,39059
Hamilton,2918,173,595,39061
Hancock,60,1,10,39063
Hardin,77,3,6,39065
Harrison,10,0,2,39067
Henry,19,0,2,39069
Highland,30,1,7,39071
Hocking,73,6,16,39073
Holmes,69,3,4,39075
Huron,64,1,12,39077
Jackson,16,0,2,39079
Jefferson,69,2,17,39081
Knox,29,1,7,39083
Lake,337,12,72,39085
Lawrence,30,0,4,39087
Licking,284,10,39,39089
Logan,46,0,6,39091
Lorain,757,61,133,39093
Lucas,2372,267,585,39095
Madison,167,7,20,39097
Mahoning,1522,195,324,39099
Marion,2695,32,83,39101
Medina,390,25,71,39103
Meigs,6,0,0,39105
Mercer,237,8,39,39107
Miami,376,30,53,39109
Monroe,81,15,15,39111
Montgomery,835,17,193,39113
Morgan,6,0,0,39115
Morrow,108,1,8,39117
Muskingum,57,1,10,39119
Noble,6,0,2,39121
Ottawa,112,19,29,39123
Paulding,14,0,5,39125
Perry,21,1,7,39127
Pickaway,2109,39,57,39129
Pike,9,0,0,39131
Portage,344,58,77,39133
Preble,39,1,6,39135
Putnam,98,14,17,39137
Richland,232,4,34,39139
Ross,75,2,22,39141
Sandusky,98,13,31,39143
Scioto,19,0,5,39145
Seneca,28,2,8,39147
Shelby,49,3,18,39149
Stark,827,103,170,39151
Summit,1592,185,381,39153
Trumbull,618,53,164,39155
Tuscarawas,382,6,51,39157
Union,61,1,5,39159
Van Wert,8,0,1,39161
Vinton,21,2,6,39163
Warren,443,20,55,39165
Washington,118,19,15,39167
Wayne,301,51,42,39169
Williams,58,1,5,39171
Wood,308,49,66,39173
Wyandot,48,2,5,39175
