County,Case Count,Death Count,Hospitalized Count,fips
Adams,18,1,2,39001
Allen,246,36,66,39003
Ashland,37,0,5,39005
Ashtabula,402,41,72,39007
Athens,24,1,4,39009
Auglaize,87,3,11,39011
Belmont,472,21,39,39013
Brown,40,1,6,39015
Butler,1153,36,200,39017
Carroll,37,3,9,39019
Champaign,37,1,4,39021
Clark,568,8,53,39023
Clermont,256,6,42,39025
Clinton,54,0,13,39027
Columbiana,940,58,143,39029
Coshocton,54,0,5,39031
Crawford,122,5,21,39033
Cuyahoga,5404,327,1308,39035
Darke,227,25,25,39037
Defiance,40,2,15,39039
Delaware,410,15,53,39041
Erie,215,22,41,39043
Fairfield,392,12,54,39045
Fayette,45,0,6,39047
Franklin,7487,342,949,39049
Fulton,53,0,7,39051
Gallia,9,1,3,39053
Geauga,349,37,77,39055
Greene,156,6,25,39057
Guernsey,44,3,6,39059
Hamilton,3508,181,636,39061
Hancock,62,1,11,39063
Hardin,105,5,7,39065
Harrison,11,0,3,39067
Henry,21,0,3,39069
Highland,35,1,7,39071
Hocking,73,7,16,39073
Holmes,101,3,5,39075
Huron,95,1,16,39077
Jackson,16,0,2,39079
Jefferson,71,2,17,39081
Knox,33,1,9,39083
Lake,356,13,74,39085
Lawrence,40,0,4,39087
Licking,324,11,41,39089
Logan,48,0,6,39091
Lorain,822,64,139,39093
Lucas,2468,291,607,39095
Madison,170,7,22,39097
Mahoning,1619,218,336,39099
Marion,2713,34,84,39101
Medina,404,31,72,39103
Meigs,9,0,0,39105
Mercer,253,8,44,39107
Miami,393,30,55,39109
Monroe,82,15,15,39111
Montgomery,1118,18,229,39113
Morgan,6,0,0,39115
Morrow,110,1,8,39117
Muskingum,61,1,11,39119
Noble,6,0,2,39121
Ottawa,118,22,30,39123
Paulding,17,0,5,39125
Perry,25,1,7,39127
Pickaway,2131,40,62,39129
Pike,12,0,1,39131
Portage,364,58,84,39133
Preble,46,1,6,39135
Putnam,102,15,17,39137
Richland,260,4,38,39139
Ross,82,2,22,39141
Sandusky,106,13,34,39143
Scioto,21,0,5,39145
Seneca,30,2,10,39147
Shelby,50,3,18,39149
Stark,908,105,184,39151
Summit,1722,196,398,39153
Trumbull,682,54,176,39155
Tuscarawas,408,9,54,39157
Union,67,1,5,39159
Van Wert,14,0,2,39161
Vinton,22,2,6,39163
Warren,549,20,61,39165
Washington,119,20,15,39167
Wayne,316,52,42,39169
Williams,59,1,6,39171
Wood,331,51,66,39173
Wyandot,50,4,5,39175
