County,Case Count,Death Count,Hospitalized Count,fips
Adams,8,1,1,39001
Allen,176,31,52,39003
Ashland,17,0,3,39005
Ashtabula,263,28,49,39007
Athens,13,1,1,39009
Auglaize,55,3,11,39011
Belmont,362,11,29,39013
Brown,23,1,3,39015
Butler,699,23,133,39017
Carroll,26,2,6,39019
Champaign,25,1,4,39021
Clark,178,4,27,39023
Clermont,167,5,34,39025
Clinton,43,0,12,39027
Columbiana,467,50,129,39029
Coshocton,22,0,4,39031
Crawford,103,3,18,39033
Cuyahoga,3667,202,937,39035
Darke,142,16,16,39037
Defiance,30,2,11,39039
Delaware,280,11,31,39041
Erie,131,4,24,39043
Fairfield,222,3,32,39045
Fayette,33,0,4,39047
Franklin,4885,205,613,39049
Fulton,35,0,6,39051
Gallia,7,1,3,39053
Geauga,241,27,56,39055
Greene,86,5,12,39057
Guernsey,29,0,2,39059
Hamilton,2228,123,426,39061
Hancock,47,1,7,39063
Hardin,33,0,2,39065
Harrison,10,0,2,39067
Henry,13,0,2,39069
Highland,16,1,5,39071
Hocking,63,2,12,39073
Holmes,15,1,2,39075
Huron,46,1,9,39077
Jackson,11,0,1,39079
Jefferson,62,2,16,39081
Knox,23,1,6,39083
Lake,246,11,63,39085
Lawrence,27,0,4,39087
Licking,199,9,36,39089
Logan,32,0,4,39091
Lorain,624,58,111,39093
Lucas,2056,219,546,39095
Madison,105,7,17,39097
Mahoning,1277,162,285,39099
Marion,2557,18,73,39101
Medina,245,18,61,39103
Meigs,4,0,0,39105
Mercer,163,3,27,39107
Miami,337,30,49,39109
Monroe,65,4,11,39111
Montgomery,554,14,154,39113
Morgan,5,0,0,39115
Morrow,104,1,8,39117
Muskingum,42,0,7,39119
Noble,5,0,2,39121
Ottawa,66,4,23,39123
Paulding,12,0,5,39125
Perry,16,1,6,39127
Pickaway,2031,32,55,39129
Pike,6,0,0,39131
Portage,303,55,75,39133
Preble,30,1,6,39135
Putnam,84,13,15,39137
Richland,170,3,31,39139
Ross,60,1,14,39141
Sandusky,63,9,22,39143
Scioto,14,0,1,39145
Seneca,16,2,5,39147
Shelby,35,2,15,39149
Stark,642,79,137,39151
Summit,1141,139,329,39153
Trumbull,499,40,144,39155
Tuscarawas,293,2,29,39157
Union,40,0,3,39159
Van Wert,5,0,1,39161
Vinton,17,0,5,39163
Warren,309,15,46,39165
Washington,116,17,15,39167
Wayne,211,49,31,39169
Williams,47,1,4,39171
Wood,259,43,64,39173
Wyandot,33,2,3,39175
