County,Case Count,Death Count,Hospitalized Count,fips
Adams,11,1,1,39001
Allen,219,33,57,39003
Ashland,21,0,5,39005
Ashtabula,347,38,64,39007
Athens,18,1,1,39009
Auglaize,77,3,11,39011
Belmont,447,15,35,39013
Brown,30,1,4,39015
Butler,948,32,167,39017
Carroll,34,3,8,39019
Champaign,28,1,4,39021
Clark,313,7,37,39023
Clermont,218,5,40,39025
Clinton,45,0,12,39027
Columbiana,891,52,133,39029
Coshocton,45,0,4,39031
Crawford,118,4,21,39033
Cuyahoga,4732,259,1165,39035
Darke,189,23,20,39037
Defiance,34,2,11,39039
Delaware,355,14,38,39041
Erie,185,16,37,39043
Fairfield,314,8,44,39045
Fayette,41,0,6,39047
Franklin,6216,293,785,39049
Fulton,45,0,7,39051
Gallia,8,1,3,39053
Geauga,300,34,72,39055
Greene,105,5,15,39057
Guernsey,38,2,5,39059
Hamilton,2767,167,567,39061
Hancock,53,1,9,39063
Hardin,71,0,6,39065
Harrison,10,0,2,39067
Henry,17,0,2,39069
Highland,26,1,7,39071
Hocking,70,5,14,39073
Holmes,54,3,3,39075
Huron,61,1,12,39077
Jackson,14,0,1,39079
Jefferson,67,2,16,39081
Knox,25,1,6,39083
Lake,320,12,71,39085
Lawrence,31,1,4,39087
Licking,267,10,38,39089
Logan,43,0,5,39091
Lorain,722,60,124,39093
Lucas,2313,263,575,39095
Madison,163,7,20,39097
Mahoning,1466,191,318,39099
Marion,2686,31,82,39101
Medina,376,25,71,39103
Meigs,6,0,0,39105
Mercer,223,8,38,39107
Miami,366,30,53,39109
Monroe,80,15,15,39111
Montgomery,720,16,179,39113
Morgan,5,0,0,39115
Morrow,108,1,8,39117
Muskingum,54,1,9,39119
Noble,6,0,2,39121
Ottawa,104,17,27,39123
Paulding,14,0,5,39125
Perry,19,1,6,39127
Pickaway,2096,38,57,39129
Pike,9,0,0,39131
Portage,333,57,75,39133
Preble,39,1,6,39135
Putnam,95,14,15,39137
Richland,216,4,34,39139
Ross,73,2,21,39141
Sandusky,85,12,28,39143
Scioto,17,0,3,39145
Seneca,26,2,6,39147
Shelby,46,3,17,39149
Stark,782,101,167,39151
Summit,1505,181,372,39153
Trumbull,594,51,160,39155
Tuscarawas,367,4,47,39157
Union,55,1,5,39159
Van Wert,7,0,1,39161
Vinton,21,2,5,39163
Warren,398,21,53,39165
Washington,118,19,15,39167
Wayne,293,51,42,39169
Williams,56,1,5,39171
Wood,304,49,66,39173
Wyandot,48,2,5,39175
