County,Case Count,Death Count,Hospitalized Count,fips
Adams,2,0,0,39001
Allen,22,1,16,39003
Ashland,3,0,1,39005
Ashtabula,18,0,6,39007
Athens,3,1,1,39009
Auglaize,8,0,3,39011
Belmont,25,1,5,39013
Brown,4,1,1,39015
Butler,92,2,34,39017
Carroll,9,0,5,39019
Champaign,5,0,2,39021
Clark,11,0,4,39023
Clermont,22,1,5,39025
Clinton,9,0,3,39027
Columbiana,59,5,36,39029
Coshocton,10,0,2,39031
Crawford,9,0,0,39033
Cuyahoga,911,19,248,39035
Darke,34,6,1,39037
Defiance,9,0,3,39039
Delaware,77,1,13,39041
Erie,10,1,8,39043
Fairfield,59,0,11,39045
Fayette,2,0,0,39047
Franklin,703,12,128,39049
Fulton,5,0,2,39051
Gallia,4,1,3,39053
Geauga,41,0,13,39055
Greene,20,1,6,39057
Guernsey,1,0,0,39059
Hamilton,411,12,74,39061
Hancock,15,0,5,39063
Hardin,2,0,1,39065
Highland,6,0,2,39071
Holmes,2,0,0,39075
Huron,10,1,4,39077
Jefferson,15,0,6,39081
Knox,7,1,3,39083
Lake,92,4,28,39085
Lawrence,9,0,2,39087
Licking,61,3,12,39089
Logan,5,0,1,39091
Lorain,116,3,34,39093
Lucas,347,16,104,39095
Madison,18,2,7,39097
Mahoning,300,19,134,39099
Marion,28,0,4,39101
Medina,88,3,26,39103
Meigs,1,0,0,39105
Mercer,8,1,2,39107
Miami,101,12,37,39109
Monroe,2,0,2,39111
Montgomery,132,2,35,39113
Morgan,1,0,0,39115
Morrow,6,0,2,39117
Muskingum,6,0,2,39119
Ottawa,5,0,3,39123
Paulding,1,0,0,39125
Perry,4,0,1,39127
Pickaway,31,0,0,39129
Pike,1,0,0,39131
Portage,101,7,23,39133
Preble,7,0,3,39135
Richland,20,0,12,39139
Ross,9,0,5,39141
Sandusky,5,0,5,39143
Scioto,1,0,0,39145
Seneca,6,1,2,39147
Shelby,18,0,7,39149
Stark,110,7,22,39151
Summit,199,12,79,39153
Trumbull,110,8,55,39155
Tuscarawas,23,0,4,39157
Union,8,0,0,39159
Van Wert,2,0,1,39161
Warren,45,0,7,39165
Washington,27,0,3,39167
Wayne,29,0,11,39169
Williams,1,0,1,39171
Wood,38,0,21,39173
Wyandot,5,0,2,39175
