County,Case Count,Death Count,Hospitalized Count,fips
Adams,6,0,0,39001
Allen,146,29,48,39003
Ashland,15,0,1,39005
Ashtabula,193,19,30,39007
Athens,6,1,1,39009
Auglaize,43,3,9,39011
Belmont,258,7,20,39013
Brown,17,1,3,39015
Butler,479,13,102,39017
Carroll,24,1,6,39019
Champaign,19,1,4,39021
Clark,98,3,19,39023
Clermont,125,3,28,39025
Clinton,35,0,10,39027
Columbiana,336,37,117,39029
Coshocton,19,0,4,39031
Crawford,77,1,9,39033
Cuyahoga,2861,147,726,39035
Darke,89,14,14,39037
Defiance,26,1,9,39039
Delaware,222,4,28,39041
Erie,83,3,18,39043
Fairfield,178,3,30,39045
Fayette,23,0,4,39047
Franklin,3881,124,506,39049
Fulton,31,0,6,39051
Gallia,6,1,3,39053
Geauga,191,19,41,39055
Greene,63,5,12,39057
Guernsey,21,0,2,39059
Hamilton,1823,101,337,39061
Hancock,39,1,7,39063
Hardin,28,0,2,39065
Harrison,6,0,2,39067
Henry,9,0,2,39069
Highland,12,1,3,39071
Hocking,22,1,9,39073
Holmes,8,1,2,39075
Huron,38,1,8,39077
Jackson,8,0,1,39079
Jefferson,56,2,16,39081
Knox,20,1,6,39083
Lake,199,8,54,39085
Lawrence,25,0,4,39087
Licking,164,7,32,39089
Logan,23,0,4,39091
Lorain,554,45,98,39093
Lucas,1806,165,479,39095
Madison,84,3,12,39097
Mahoning,1144,123,263,39099
Marion,2404,14,59,39101
Medina,195,17,49,39103
Meigs,3,0,0,39105
Mercer,84,1,16,39107
Miami,313,28,49,39109
Monroe,19,0,4,39111
Montgomery,422,10,126,39113
Morgan,5,0,0,39115
Morrow,87,1,6,39117
Muskingum,27,0,6,39119
Noble,5,0,2,39121
Ottawa,47,2,16,39123
Paulding,9,0,3,39125
Perry,14,1,6,39127
Pickaway,1933,23,51,39129
Pike,5,0,0,39131
Portage,280,46,72,39133
Preble,28,1,6,39135
Putnam,76,13,13,39137
Richland,121,2,25,39139
Ross,53,1,11,39141
Sandusky,52,8,17,39143
Scioto,13,0,1,39145
Seneca,14,1,5,39147
Shelby,32,1,14,39149
Stark,511,67,112,39151
Summit,915,78,290,39153
Trumbull,408,35,131,39155
Tuscarawas,216,1,24,39157
Union,28,0,3,39159
Van Wert,3,0,1,39161
Vinton,12,0,1,39163
Warren,209,13,38,39165
Washington,114,17,15,39167
Wayne,186,42,25,39169
Williams,44,1,4,39171
Wood,225,31,58,39173
Wyandot,26,2,3,39175
