County,Case Count,Death Count,Hospitalized Count,fips
Adams,8,1,1,39001
Allen,184,31,52,39003
Ashland,17,0,3,39005
Ashtabula,274,31,49,39007
Athens,13,1,1,39009
Auglaize,58,3,11,39011
Belmont,381,12,33,39013
Brown,24,1,3,39015
Butler,750,25,141,39017
Carroll,28,2,6,39019
Champaign,26,1,4,39021
Clark,195,6,28,39023
Clermont,177,5,35,39025
Clinton,43,0,12,39027
Columbiana,477,50,129,39029
Coshocton,24,0,4,39031
Crawford,104,3,18,39033
Cuyahoga,3851,207,972,39035
Darke,147,16,17,39037
Defiance,32,2,11,39039
Delaware,292,11,32,39041
Erie,137,4,24,39043
Fairfield,233,3,32,39045
Fayette,34,0,4,39047
Franklin,5097,224,642,39049
Fulton,35,0,6,39051
Gallia,7,1,3,39053
Geauga,250,29,57,39055
Greene,92,5,13,39057
Guernsey,30,0,2,39059
Hamilton,2349,128,435,39061
Hancock,48,1,7,39063
Hardin,38,0,3,39065
Harrison,10,0,2,39067
Henry,14,0,2,39069
Highland,18,1,5,39071
Hocking,64,3,13,39073
Holmes,22,1,2,39075
Huron,49,1,9,39077
Jackson,11,0,1,39079
Jefferson,62,2,16,39081
Knox,23,1,6,39083
Lake,263,12,64,39085
Lawrence,28,0,4,39087
Licking,201,10,38,39089
Logan,38,0,4,39091
Lorain,637,59,113,39093
Lucas,2087,228,549,39095
Madison,132,7,17,39097
Mahoning,1317,169,291,39099
Marion,2608,21,76,39101
Medina,274,19,65,39103
Meigs,6,0,0,39105
Mercer,178,3,29,39107
Miami,346,30,49,39109
Monroe,71,9,11,39111
Montgomery,578,14,158,39113
Morgan,5,0,0,39115
Morrow,104,1,8,39117
Muskingum,44,0,7,39119
Noble,5,0,2,39121
Ottawa,87,7,24,39123
Paulding,13,0,5,39125
Perry,17,1,6,39127
Pickaway,2038,35,56,39129
Pike,6,0,0,39131
Portage,309,58,75,39133
Preble,30,1,6,39135
Putnam,85,14,15,39137
Richland,179,3,30,39139
Ross,62,2,15,39141
Sandusky,65,10,22,39143
Scioto,14,0,1,39145
Seneca,17,2,5,39147
Shelby,37,2,15,39149
Stark,670,89,142,39151
Summit,1204,159,337,39153
Trumbull,514,42,145,39155
Tuscarawas,306,2,33,39157
Union,42,0,3,39159
Van Wert,5,0,1,39161
Vinton,19,0,5,39163
Warren,319,19,46,39165
Washington,116,18,15,39167
Wayne,248,50,33,39169
Williams,51,1,4,39171
Wood,269,45,64,39173
Wyandot,36,2,3,39175
