County,Case Count,Death Count,Hospitalized Count,fips
Adams,5,0,0,39001
Allen,139,29,47,39003
Ashland,12,0,1,39005
Ashtabula,172,18,29,39007
Athens,4,1,1,39009
Auglaize,42,3,8,39011
Belmont,216,7,20,39013
Brown,16,1,3,39015
Butler,404,12,96,39017
Carroll,23,1,6,39019
Champaign,16,1,4,39021
Clark,80,2,14,39023
Clermont,120,3,27,39025
Clinton,33,0,8,39027
Columbiana,313,33,113,39029
Coshocton,19,0,4,39031
Crawford,69,1,8,39033
Cuyahoga,2668,143,690,39035
Darke,82,14,14,39037
Defiance,21,1,9,39039
Delaware,199,4,26,39041
Erie,78,3,17,39043
Fairfield,171,2,29,39045
Fayette,23,0,4,39047
Franklin,3615,108,465,39049
Fulton,30,0,6,39051
Gallia,6,1,3,39053
Geauga,187,19,38,39055
Greene,52,5,10,39057
Guernsey,20,0,2,39059
Hamilton,1664,100,323,39061
Hancock,39,1,7,39063
Hardin,27,0,2,39065
Harrison,6,0,2,39067
Henry,8,0,2,39069
Highland,11,1,3,39071
Hocking,20,1,8,39073
Holmes,7,1,2,39075
Huron,37,1,8,39077
Jackson,7,0,1,39079
Jefferson,50,2,16,39081
Knox,20,1,5,39083
Lake,192,8,53,39085
Lawrence,24,0,4,39087
Licking,150,7,32,39089
Logan,23,0,4,39091
Lorain,537,44,97,39093
Lucas,1665,161,468,39095
Madison,78,3,12,39097
Mahoning,1087,119,257,39099
Marion,2366,13,58,39101
Medina,190,17,48,39103
Meigs,3,0,0,39105
Mercer,62,1,13,39107
Miami,176,27,49,39109
Monroe,8,0,3,39111
Montgomery,356,10,111,39113
Morgan,5,0,0,39115
Morrow,84,1,6,39117
Muskingum,24,0,6,39119
Noble,5,0,2,39121
Ottawa,45,2,16,39123
Paulding,8,0,3,39125
Perry,13,1,6,39127
Pickaway,1842,23,50,39129
Pike,4,0,0,39131
Portage,272,46,69,39133
Preble,27,1,6,39135
Putnam,75,13,13,39137
Richland,103,2,26,39139
Ross,49,1,10,39141
Sandusky,47,7,17,39143
Scioto,13,0,1,39145
Seneca,14,1,5,39147
Shelby,31,1,13,39149
Stark,464,62,106,39151
Summit,867,74,278,39153
Trumbull,392,36,126,39155
Tuscarawas,168,1,23,39157
Union,28,0,3,39159
Van Wert,3,0,1,39161
Vinton,10,0,1,39163
Warren,191,13,36,39165
Washington,111,17,15,39167
Wayne,183,42,25,39169
Williams,44,1,4,39171
Wood,220,29,58,39173
Wyandot,26,2,3,39175
