County,Case Count,Death Count,Hospitalized Count,fips
Adams,17,1,2,39001
Allen,241,36,66,39003
Ashland,29,0,5,39005
Ashtabula,392,41,72,39007
Athens,23,1,3,39009
Auglaize,86,3,11,39011
Belmont,469,21,39,39013
Brown,38,1,6,39015
Butler,1120,35,197,39017
Carroll,37,3,9,39019
Champaign,36,1,4,39021
Clark,460,8,50,39023
Clermont,244,6,41,39025
Clinton,54,0,13,39027
Columbiana,921,57,141,39029
Coshocton,52,0,5,39031
Crawford,123,5,21,39033
Cuyahoga,5271,318,1294,39035
Darke,222,25,25,39037
Defiance,40,2,15,39039
Delaware,403,15,53,39041
Erie,215,20,41,39043
Fairfield,374,10,50,39045
Fayette,45,0,6,39047
Franklin,7289,334,930,39049
Fulton,53,0,7,39051
Gallia,9,1,3,39053
Geauga,342,36,75,39055
Greene,151,6,21,39057
Guernsey,44,3,6,39059
Hamilton,3316,181,628,39061
Hancock,61,1,10,39063
Hardin,94,4,6,39065
Harrison,11,0,3,39067
Henry,20,0,3,39069
Highland,34,1,7,39071
Hocking,73,7,16,39073
Holmes,92,3,5,39075
Huron,79,1,15,39077
Jackson,16,0,2,39079
Jefferson,71,2,17,39081
Knox,33,1,9,39083
Lake,350,12,74,39085
Lawrence,35,0,4,39087
Licking,317,11,40,39089
Logan,48,0,6,39091
Lorain,807,63,137,39093
Lucas,2460,286,605,39095
Madison,168,7,22,39097
Mahoning,1607,218,338,39099
Marion,2712,33,84,39101
Medina,400,30,72,39103
Meigs,7,0,0,39105
Mercer,247,8,43,39107
Miami,388,30,55,39109
Monroe,82,15,15,39111
Montgomery,1026,17,217,39113
Morgan,6,0,0,39115
Morrow,110,1,8,39117
Muskingum,58,1,10,39119
Noble,6,0,2,39121
Ottawa,118,22,30,39123
Paulding,17,0,5,39125
Perry,24,1,7,39127
Pickaway,2125,40,62,39129
Pike,9,0,0,39131
Portage,354,58,83,39133
Preble,44,1,6,39135
Putnam,101,15,17,39137
Richland,253,4,37,39139
Ross,81,2,22,39141
Sandusky,104,13,34,39143
Scioto,21,0,5,39145
Seneca,29,2,9,39147
Shelby,49,3,18,39149
Stark,881,105,181,39151
Summit,1706,196,395,39153
Trumbull,665,54,172,39155
Tuscarawas,406,9,54,39157
Union,62,1,5,39159
Van Wert,14,0,2,39161
Vinton,22,2,6,39163
Warren,525,20,59,39165
Washington,118,19,15,39167
Wayne,311,52,42,39169
Williams,59,1,6,39171
Wood,329,51,66,39173
Wyandot,49,4,5,39175
