County,Case Count,Death Count,Hospitalized Count,fips
Adams,4,0,0,39001
Allen,106,18,43,39003
Ashland,6,0,1,39005
Ashtabula,110,10,19,39007
Athens,3,1,1,39009
Auglaize,30,3,8,39011
Belmont,106,6,14,39013
Brown,11,1,2,39015
Butler,225,4,67,39017
Carroll,19,1,6,39019
Champaign,12,1,2,39021
Clark,33,2,9,39023
Clermont,77,2,21,39025
Clinton,28,0,7,39027
Columbiana,223,18,92,39029
Coshocton,16,0,3,39031
Crawford,39,0,2,39033
Cuyahoga,1902,91,514,39035
Darke,75,13,14,39037
Defiance,19,1,9,39039
Delaware,143,3,19,39041
Erie,46,3,12,39043
Fairfield,114,2,25,39045
Fayette,13,0,0,39047
Franklin,1942,53,300,39049
Fulton,19,0,5,39051
Gallia,6,1,3,39053
Geauga,137,14,26,39055
Greene,43,3,9,39057
Guernsey,15,0,1,39059
Hamilton,1005,56,239,39061
Hancock,34,1,7,39063
Hardin,23,0,2,39065
Harrison,4,0,1,39067
Henry,4,0,1,39069
Highland,9,0,2,39071
Hocking,14,1,4,39073
Holmes,5,1,2,39075
Huron,28,1,5,39077
Jackson,4,0,1,39079
Jefferson,37,1,11,39081
Knox,15,1,5,39083
Lake,157,7,49,39085
Lawrence,23,0,4,39087
Licking,108,4,22,39089
Logan,18,0,3,39091
Lorain,377,19,73,39093
Lucas,1104,59,375,39095
Madison,50,3,9,39097
Mahoning,737,66,231,39099
Marion,2178,4,27,39101
Medina,160,13,42,39103
Meigs,2,0,0,39105
Mercer,18,1,4,39107
Miami,135,25,49,39109
Monroe,2,0,2,39111
Montgomery,260,8,83,39113
Morgan,4,0,0,39115
Morrow,34,0,4,39117
Muskingum,11,0,4,39119
Noble,5,0,2,39121
Ottawa,37,0,11,39123
Paulding,8,0,3,39125
Perry,13,0,6,39127
Pickaway,1658,5,37,39129
Pike,3,0,0,39131
Portage,220,31,56,39133
Preble,25,1,5,39135
Putnam,54,5,9,39137
Richland,78,1,21,39139
Ross,35,1,8,39141
Sandusky,20,2,7,39143
Scioto,6,0,0,39145
Seneca,13,1,5,39147
Shelby,30,1,12,39149
Stark,310,34,74,39151
Summit,485,38,205,39153
Trumbull,293,24,107,39155
Tuscarawas,50,0,10,39157
Union,18,0,2,39159
Van Wert,3,0,1,39161
Warren,133,11,23,39165
Washington,94,10,11,39167
Wayne,104,21,19,39169
Williams,29,1,4,39171
Wood,133,17,42,39173
Wyandot,24,2,3,39175
