County,Case Count,Death Count,Hospitalized Count,fips
Adams,3,0,0,39001
Allen,27,1,18,39003
Ashland,5,0,1,39005
Ashtabula,24,0,8,39007
Athens,3,1,1,39009
Auglaize,14,1,5,39011
Belmont,49,2,12,39013
Brown,5,1,1,39015
Butler,115,2,40,39017
Carroll,11,0,5,39019
Champaign,6,1,2,39021
Clark,18,0,5,39023
Clermont,41,1,8,39025
Clinton,15,0,3,39027
Columbiana,96,6,64,39029
Coshocton,15,0,3,39031
Crawford,13,0,1,39033
Cuyahoga,1113,22,316,39035
Darke,42,8,3,39037
Defiance,11,0,5,39039
Delaware,89,2,14,39041
Erie,10,1,8,39043
Fairfield,78,0,18,39045
Fayette,7,0,0,39047
Franklin,894,14,179,39049
Fulton,6,0,2,39051
Gallia,4,1,3,39053
Geauga,53,2,15,39055
Greene,24,1,8,39057
Guernsey,5,0,1,39059
Hamilton,529,17,106,39061
Hancock,20,1,7,39063
Hardin,4,0,1,39065
Henry,1,0,1,39069
Highland,6,0,2,39071
Hocking,2,0,0,39073
Holmes,3,0,1,39075
Huron,15,1,5,39077
Jackson,2,0,1,39079
Jefferson,23,0,7,39081
Knox,9,1,4,39083
Lake,112,6,37,39085
Lawrence,15,0,2,39087
Licking,80,3,17,39089
Logan,7,0,2,39091
Lorain,161,5,47,39093
Lucas,490,21,190,39095
Madison,23,3,8,39097
Mahoning,375,31,158,39099
Marion,49,0,10,39101
Medina,107,7,35,39103
Meigs,1,0,0,39105
Mercer,12,1,3,39107
Miami,116,15,44,39109
Monroe,2,0,2,39111
Montgomery,175,5,60,39113
Morgan,2,0,0,39115
Morrow,8,0,3,39117
Muskingum,8,0,2,39119
Noble,1,0,0,39121
Ottawa,10,0,5,39123
Paulding,3,0,1,39125
Perry,8,0,2,39127
Pickaway,51,0,2,39129
Pike,1,0,0,39131
Portage,134,14,37,39133
Preble,11,1,5,39135
Richland,34,1,16,39139
Ross,13,0,5,39141
Sandusky,10,2,6,39143
Scioto,4,0,0,39145
Seneca,8,1,4,39147
Shelby,25,0,9,39149
Stark,133,11,31,39151
Summit,243,14,95,39153
Trumbull,155,8,76,39155
Tuscarawas,26,0,6,39157
Union,10,0,1,39159
Van Wert,2,0,1,39161
Warren,74,0,11,39165
Washington,36,1,3,39167
Wayne,40,5,12,39169
Williams,3,0,2,39171
Wood,52,3,23,39173
Wyandot,10,2,2,39175
