County,Case Count,Death Count,Hospitalized Count,fips
Adams,8,0,1,39001
Allen,165,30,50,39003
Ashland,15,0,2,39005
Ashtabula,229,26,38,39007
Athens,8,1,1,39009
Auglaize,54,3,11,39011
Belmont,318,8,20,39013
Brown,22,1,3,39015
Butler,578,16,115,39017
Carroll,24,2,6,39019
Champaign,23,1,4,39021
Clark,138,3,20,39023
Clermont,149,4,31,39025
Clinton,39,0,12,39027
Columbiana,415,43,125,39029
Coshocton,20,0,4,39031
Crawford,94,2,14,39033
Cuyahoga,3223,163,839,39035
Darke,111,16,14,39037
Defiance,25,1,9,39039
Delaware,257,5,30,39041
Erie,97,3,21,39043
Fairfield,203,3,32,39045
Fayette,30,0,4,39047
Franklin,4420,169,571,39049
Fulton,34,0,6,39051
Gallia,7,1,3,39053
Geauga,220,24,49,39055
Greene,75,5,12,39057
Guernsey,24,0,2,39059
Hamilton,2007,111,369,39061
Hancock,45,1,7,39063
Hardin,30,0,2,39065
Harrison,9,0,2,39067
Henry,10,0,2,39069
Highland,14,1,4,39071
Hocking,59,2,10,39073
Holmes,10,1,2,39075
Huron,40,1,8,39077
Jackson,11,0,1,39079
Jefferson,59,2,16,39081
Knox,21,1,6,39083
Lake,219,8,60,39085
Lawrence,27,0,4,39087
Licking,184,7,35,39089
Logan,24,0,4,39091
Lorain,589,57,107,39093
Lucas,1945,203,517,39095
Madison,98,5,14,39097
Mahoning,1199,146,271,39099
Marion,2449,15,70,39101
Medina,212,18,52,39103
Meigs,3,0,0,39105
Mercer,121,1,21,39107
Miami,327,30,49,39109
Monroe,53,1,12,39111
Montgomery,500,13,142,39113
Morgan,5,0,0,39115
Morrow,97,1,6,39117
Muskingum,34,0,6,39119
Noble,5,0,2,39121
Ottawa,65,3,18,39123
Paulding,11,0,5,39125
Perry,15,1,6,39127
Pickaway,2011,25,53,39129
Pike,5,0,0,39131
Portage,290,51,74,39133
Preble,28,1,6,39135
Putnam,80,13,14,39137
Richland,155,2,26,39139
Ross,58,1,13,39141
Sandusky,56,8,18,39143
Scioto,14,0,1,39145
Seneca,15,2,5,39147
Shelby,34,1,15,39149
Stark,553,74,129,39151
Summit,995,110,312,39153
Trumbull,447,38,137,39155
Tuscarawas,258,1,25,39157
Union,31,0,3,39159
Van Wert,4,0,1,39161
Vinton,16,0,4,39163
Warren,269,14,43,39165
Washington,116,17,15,39167
Wayne,200,48,29,39169
Williams,47,1,4,39171
Wood,241,42,61,39173
Wyandot,29,2,3,39175
