County,Case Count,Death Count,Hospitalized Count,fips
Adams,18,1,2,39001
Allen,251,37,66,39003
Ashland,39,0,6,39005
Ashtabula,407,42,72,39007
Athens,25,1,4,39009
Auglaize,90,3,12,39011
Belmont,484,21,39,39013
Brown,43,1,6,39015
Butler,1201,39,202,39017
Carroll,41,3,9,39019
Champaign,37,1,4,39021
Clark,653,8,57,39023
Clermont,279,6,45,39025
Clinton,55,0,13,39027
Columbiana,961,58,143,39029
Coshocton,60,0,5,39031
Crawford,122,5,21,39033
Cuyahoga,5633,338,1330,39035
Darke,227,25,25,39037
Defiance,42,2,15,39039
Delaware,427,15,55,39041
Erie,217,22,41,39043
Fairfield,409,12,57,39045
Fayette,45,0,6,39047
Franklin,7794,358,976,39049
Fulton,53,0,7,39051
Gallia,9,1,3,39053
Geauga,357,37,78,39055
Greene,169,8,28,39057
Guernsey,45,3,6,39059
Hamilton,3829,186,655,39061
Hancock,62,1,11,39063
Hardin,107,10,7,39065
Harrison,11,1,3,39067
Henry,23,0,3,39069
Highland,39,1,7,39071
Hocking,73,7,16,39073
Holmes,127,3,5,39075
Huron,110,1,16,39077
Jackson,16,0,2,39079
Jefferson,74,2,17,39081
Knox,34,1,9,39083
Lake,367,14,76,39085
Lawrence,44,0,4,39087
Licking,331,11,42,39089
Logan,48,0,6,39091
Lorain,843,66,140,39093
Lucas,2490,294,613,39095
Madison,174,7,22,39097
Mahoning,1654,224,339,39099
Marion,2715,34,84,39101
Medina,413,31,73,39103
Meigs,9,0,0,39105
Mercer,258,8,45,39107
Miami,400,30,56,39109
Monroe,82,15,15,39111
Montgomery,1263,20,240,39113
Morgan,6,0,0,39115
Morrow,110,1,8,39117
Muskingum,64,1,11,39119
Noble,6,0,2,39121
Ottawa,119,22,30,39123
Paulding,18,0,5,39125
Perry,26,1,7,39127
Pickaway,2139,41,63,39129
Pike,14,0,1,39131
Portage,369,58,86,39133
Preble,51,1,7,39135
Putnam,105,15,17,39137
Richland,271,4,39,39139
Ross,84,2,22,39141
Sandusky,109,13,34,39143
Scioto,21,0,5,39145
Seneca,31,2,11,39147
Shelby,51,3,18,39149
Stark,942,105,187,39151
Summit,1756,201,402,39153
Trumbull,711,55,182,39155
Tuscarawas,429,10,56,39157
Union,71,1,5,39159
Van Wert,16,0,2,39161
Vinton,22,2,6,39163
Warren,584,20,62,39165
Washington,119,20,15,39167
Wayne,327,52,42,39169
Williams,59,1,6,39171
Wood,334,51,67,39173
Wyandot,55,4,5,39175
