County,Case Count,Death Count,Hospitalized Count,fips
Allen,10,0,8,39003
Ashland,3,0,1,39005
Ashtabula,8,0,2,39007
Athens,3,1,1,39009
Auglaize,3,0,1,39011
Belmont,12,0,4,39013
Brown,2,1,1,39015
Butler,45,0,18,39017
Carroll,5,0,4,39019
Champaign,4,0,2,39021
Clark,7,0,4,39023
Clermont,14,0,4,39025
Clinton,5,0,1,39027
Columbiana,22,2,16,39029
Coshocton,8,0,1,39031
Crawford,6,0,0,39033
Cuyahoga,663,12,166,39035
Darke,22,1,0,39037
Defiance,6,0,2,39039
Delaware,50,1,8,39041
Erie,5,1,5,39043
Fairfield,28,0,6,39045
Fayette,1,0,0,39047
Franklin,441,5,67,39049
Fulton,3,0,1,39051
Gallia,3,1,3,39053
Geauga,33,0,10,39055
Greene,8,1,2,39057
Guernsey,1,0,0,39059
Hamilton,178,2,40,39061
Hancock,8,0,4,39063
Hardin,1,0,1,39065
Highland,3,0,1,39071
Holmes,1,0,0,39075
Huron,4,1,3,39077
Jefferson,13,0,5,39081
Knox,5,1,3,39083
Lake,62,3,19,39085
Lawrence,2,0,1,39087
Licking,30,0,3,39089
Logan,3,0,1,39091
Lorain,90,2,25,39093
Lucas,206,3,35,39095
Madison,11,2,3,39097
Mahoning,192,11,87,39099
Marion,10,0,3,39101
Medina,68,1,17,39103
Mercer,5,0,1,39107
Miami,62,8,24,39109
Montgomery,49,2,11,39113
Morrow,1,0,0,39117
Muskingum,3,0,2,39119
Ottawa,5,0,3,39123
Perry,2,0,0,39127
Pickaway,11,0,0,39129
Pike,1,0,0,39131
Portage,59,2,21,39133
Preble,1,0,1,39135
Richland,8,0,4,39139
Ross,3,0,3,39141
Sandusky,5,0,5,39143
Seneca,4,1,2,39147
Shelby,6,0,2,39149
Stark,67,3,12,39151
Summit,155,7,62,39153
Trumbull,63,6,32,39155
Tuscarawas,16,0,3,39157
Union,4,0,0,39159
Van Wert,2,0,1,39161
Warren,26,0,4,39165
Washington,4,0,2,39167
Wayne,11,0,4,39169
Williams,1,0,1,39171
Wood,18,0,11,39173
Wyandot,2,0,2,39175
