County,Case Count,Death Count,Hospitalized Count,fips
Allen,5,0,4,39003
Ashland,2,0,1,39005
Ashtabula,6,0,1,39007
Athens,3,1,1,39009
Auglaize,2,0,1,39011
Belmont,9,0,2,39013
Brown,2,1,1,39015
Butler,36,0,15,39017
Carroll,5,0,4,39019
Champaign,3,0,2,39021
Clark,6,0,3,39023
Clermont,10,0,2,39025
Clinton,3,0,0,39027
Columbiana,15,2,9,39029
Coshocton,5,0,0,39031
Crawford,5,0,0,39033
Cuyahoga,527,6,129,39035
Darke,13,1,0,39037
Defiance,5,0,2,39039
Delaware,40,1,5,39041
Erie,5,1,5,39043
Fairfield,14,0,3,39045
Fayette,1,0,0,39047
Franklin,325,3,47,39049
Fulton,2,0,0,39051
Gallia,1,1,1,39053
Geauga,24,0,9,39055
Greene,6,1,2,39057
Hamilton,124,0,22,39061
Hancock,5,0,2,39063
Highland,1,0,0,39071
Holmes,1,0,0,39075
Huron,4,1,3,39077
Jefferson,11,0,2,39081
Knox,4,0,1,39083
Lake,44,2,15,39085
Lawrence,1,0,0,39087
Licking,25,0,2,39089
Logan,3,0,1,39091
Lorain,82,2,21,39093
Lucas,133,3,21,39095
Madison,7,0,2,39097
Mahoning,153,9,70,39099
Marion,8,0,1,39101
Medina,55,1,14,39103
Mercer,2,0,1,39107
Miami,52,6,19,39109
Montgomery,37,1,6,39113
Muskingum,2,0,2,39119
Ottawa,2,0,1,39123
Perry,1,0,0,39127
Pickaway,12,0,0,39129
Pike,1,0,0,39131
Portage,38,1,9,39133
Preble,1,0,1,39135
Richland,6,0,3,39139
Ross,2,0,2,39141
Sandusky,4,0,4,39143
Seneca,3,1,1,39147
Shelby,5,0,2,39149
Stark,45,3,11,39151
Summit,131,5,53,39153
Trumbull,50,2,26,39155
Tuscarawas,9,0,2,39157
Union,4,0,0,39159
Van Wert,1,0,1,39161
Warren,21,0,3,39165
Washington,3,0,1,39167
Wayne,9,0,2,39169
Wood,15,0,8,39173
Wyandot,2,0,1,39175
